vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AA	1	LOT	906.3	1640.1	3095.7	104.3	241.4	244.4	185.718	185.691	185.771	0.08	5	1	4	1	7	0			896.8	1595.6	907.1	1643.8	901.3	1680.2	867.8	1685.9	800.3	1673.8	5		900	1643	3100	5.1417	1	lot	185.7247
IH	1	VISITING	622.6	1929.7	2953.1	75.7	129.8	245.4	185.921	185.901	185.961	0.06	1	3	4	2	1	2			626.6	1926.7	622.3	1929.1	615.0	1925.1	603.8	1912.6	598.6	1890.6	4		625	1917	2974	1.34211	1	visiting	185.9269
EY	1	DAVE	485.3	2397.1	2869.6	81.3	157.8	2683.8	187.864	187.841	187.931	0.09	21	3	2	2	3	0			484.6	2368.3	484.2	2430.7	477.1	2460.7	471.0	2449.3	470.9	2356.3	5		490	2409	3169	21.3223	1	Dave	187.8657
AE	1	MATTHEWS	823.8	2212.4	3070.0	66.5	96.2	269.8	188.044	188.021	188.091	0.07	33	3	3	1	2	1			819.6	2232.2	824.2	2205.7	824.8	2165.1	826.8	2022.3	844.2	2033.2	5		830	2228	3075	3.14121	1	Matthews	188.0438
AE	1	BAND	787.4	2202.4	2994.1	276.2	312.2	300.1	188.387	188.34	188.48	0.14	33	4	4	2	1	3			729.7	2112.0	793.0	2209.9	812.9	2155.4	834.9	2028.6	822.7	1909.4	5		750	2204	3020	3.44213	1	band	188.3999
AA	1	NOT	978.9	1599.7	1984.7	249.2	345.8	384.8	195.418	195.318	195.619	0.301	5	1	4	1	4	0			1016.5	1611.2	976.1	1598.8	946.1	1612.1	910.2	1666.6	899.2	1765.0	6		1127	1797	3124	5.1414	1	not	195.4113
AE	1	HAVE	869.9	2218.3	3099.3	172.3	137.4	173.5	197.604	197.587	197.638	0.051	3	3	2	2	0	0			873.3	2242.6	868.7	2212.4	857.1	2168.0	819.2	2075.4	736.2	1967.3	4		877	2224	3101	3.322	1	have	197.6022
AO	1	MALL	926.2	1221.6	1828.8	134.4	87.6	1416.6	198.048	198.008	198.127	0.119	53	5	4	2	2	0			901.2	1212.1	929.6	1224.1	943.9	1255.0	929.8	1306.1	896.4	1317.0	6		978	1263	3284	53.5422	1	mall	198.058
AO	1	NORWICH	702.7	1327.6	2275.1	106.6	188.6	242.5	199.942	199.922	199.981	0.059	64	6	4	2	4	1			692.0	1390.4	704.2	1321.7	715.4	1282.9	729.3	1268.0	742.9	1276.5	6		722	1263	2177	54.60041	1	Norwich	199.9583
AO	1	MALL	893.4	1335.8	3077.2	106.9	107.2	262.7	201.009	200.982	201.062	0.08	53	5	4	2	2	0			877.8	1317.7	894.7	1337.2	903.1	1353.3	903.1	1364.3	903.9	1367.8	5		898	1362	2709	53.5422	1	mall	201.0437
