vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AW	1	GROUND	741.1	1341.9	2024.4	90.4	290.4	333.2	179.897	179.877	180.008	0.131	42	4	4	2	8	3			749.9	1336.1	756.1	1291.0	752.5	1258.9	742.0	1204.0	726.5	1158.5	5		752	1272	2190	42.44283	1	ground	179.9279
IH	1	DIDN'T	550.8	1856.6	2607.7	97.7	150.8	339.0	184.828	184.791	184.902	0.111	1	4	4	2	3	3			507.6	1852.5	555.1	1858.3	591.6	1860.8	628.5	1829.7	644.6	1777.2	4		580	1832	2506	1.14233	1	didn't	184.8443
AO	1	OFF	678.8	1056.9	2339.5	52.0	42.4	103.4	185.794	185.771	185.841	0.07	53	3	2	1	0	0			684.5	1068.3	677.0	1054.8	670.6	1044.9	676.8	1044.2	695.3	1047.0	5		679	1053	2374	53.321	1	off	185.8008
EY	1	RAIN	674.8	1711.2	2041.2	135.0	199.6	229.9	186.736	186.722	186.852	0.13	21	4	4	2	7	0			670.3	1773.7	637.1	1955.8	605.1	2119.5	597.3	2192.8	598.6	2176.9	5		618	1989	2286	21.4427	1	rain	186.7716
IY	1	PEOPLE	401.4	2175.5	2538.1	173.7	214.1	316.8	187.095	187.062	187.162	0.1	11	1	1	1	1	1			408.6	2207.2	401.8	2167.8	410.4	2110.8	418.1	1897.9	427.8	1632.5	4		394	2198	2603	11.11111	1	people	187.0871
OW	1	ROLLING	585.0	1042.6	2272.4	59.6	66.3	161.9	187.379	187.372	187.452	0.08	62	5	4	2	7	1			581.8	1032.6	575.1	1001.9	581.1	987.3	590.7	970.9	597.0	940.9	5		598	994	2544	62.5427	1	rolling	187.4089
AA	1	ON	743.1	1388.3	2364.6	108.6	382.8	837.1	187.632	187.602	187.692	0.09	53	4	4	2	0	0			738.6	1418.8	742.7	1382.5	746.7	1407.4	746.6	1456.6	746.9	1417.7	5		733	1422	2393	5.442	1	on	187.6631
AE	1	LAST	644.2	1723.6	2669.0	59.5	119.4	194.1	193.687	193.654	193.754	0.1	33	3	4	1	7	0			644.3	1682.5	643.7	1726.4	635.1	1746.7	613.9	1791.9	597.8	1851.0	4		637	1610	2603	3.34173	1	last	193.6658
AH	1	SUMMER	691.0	1250.2	2486.0	180.3	399.3	501.2	195.239	195.222	195.272	0.05	6	4	1	2	3	1			679.3	1278.4	691.0	1250.2	696.1	1211.1	682.9	1150.9	662.3	1102.5	5		668	1085	2515	6.41231	1	summer	195.2605
IY	1	EITHER	524.8	2059.1	2428.9	134.7	183.3	261.3	204.074	204.044	204.134	0.09	11	3	3	2	0	1			523.0	2015.7	525.0	2060.4	526.8	2009.8	520.3	1908.9	519.1	1798.8	5		497	2128	2472	11.33101	1	either	204.0766
