vowel	stress	word	F1	F2	F3	B1	B2	B3	t	beg	end	dur	cd	fm	fp	fv	ps	fs	style	glide	F1@20%	F2@20%	F1@35%	F2@35%	F1@50%	F2@50%	F1@65%	F2@65%	F1@80%	F2@80%	nFormants	F1_man	F2_man	F3_man	plt_code	plt_stress	plt_word	t_man
AY	1	SIDE	932.9	1701.5	2620.2	121.3	181.2	379.5	103.125	103.039	103.349	0.31	41	1	4	2	3	0			895.6	1693.4	916.1	1765.4	875.8	1906.0	762.4	2263.0	520.4	1793.0	5	937	1680	2590	41.1423	1	side	103.1264
AY	1	SIDE	850.6	1658.6	2689.3	78.1	145.6	477.6	104.951	104.896	105.067	0.171	41	1	4	2	3	0			821.4	1638.7	848.7	1671.9	789.3	1804.1	704.4	2011.2	573.8	2262.9	4	856	1651	2700	41.1423	1	side	104.9502
AY	1	HIGHSCHOOL	913.1	1551.5	2900.9	174.7	167.3	480.5	114.026	114.039	114.15	0.111	47	3	4	1	0	4			874.8	1711.3	797.8	1836.6	691.1	1867.0	560.9	1448.2	466.8	1870.8	5	869	1613	2718	47.34201	1	highschool	114.0454
EY	1	EIGHT	538.5	2248.5	2542.6	220.9	907.1	256.3	115.345	115.333	115.463	0.13	21	1	4	1	0	0			508.4	2397.4	482.4	2514.0	470.7	2666.3	432.4	2319.5	386.5	1569.9	4	485	2485	2555	21.141	1	eight	115.3687
AE	1	FAMILY	506.2	2541.4		261.3	94.7		116.24	116.203	116.313	0.11	39	4	1	2	1	1			470.1	2519.5	514.8	2545.3	583.8	2557.1	618.4	2523.5	669.8	2386.5	3	502	2440	2698	3.41212	1	family	116.2403
OW	1	NO	665.9	1329.8	2523.0	133.8	202.6	316.5	117.113	117.094	117.194	0.1	63	0	0	0	4	0			661.7	1432.7	668.4	1146.8	689.5	969.9	695.4	1009.5	635.5	848.9	5	664	1146	2477	62.0004	1	no	117.129
AH	1	MONEY	873.3	1347.0	3143.5	131.4	127.5	523.3	117.35	117.323	117.404	0.081	6	4	4	2	2	1			869.2	1267.7	873.4	1355.0	871.9	1456.2	861.7	1593.7	824.3	1710.3	4	901	1394	3017	6.44221	1	money	117.3542
AE	1	HAVE	541.6	2499.0		258.2	95.3		118.546	118.526	118.586	0.06	3	3	2	2	0	0			512.0	2554.8	544.6	2491.7	566.1	2441.7	579.1	2403.7	576.5	2407.4	3	483	2538	2848	3.322	1	have	118.5347
OW	1	SO	630.6	1262.0	2629.6	205.1	300.6	1098.1	118.74	118.726	118.785	0.059	63	0	0	0	3	0			620.4	1293.6	663.9	1175.2	686.7	1112.0	688.0	1083.9	655.2	1047.0	5	707	1101	2758	62.0003	1	so	118.762
AA	2	OPPORTUNITIES	882.0	1835.1	2463.7	106.6	354.3	350.4	119.052	119.015	119.125	0.11	5	1	1	1	0	2			838.5	2054.8	887.6	1815.1	906.4	1730.8	879.1	1651.6	804.3	1448.3	5	904	1729	2440	5.11102	1	opportunities	119.073
UW	1	OPPORTUNITIES	435.4	1043.6	2520.9	202.9	226.1	196.3	119.416	119.386	119.475	0.089	82	4	4	2	3	2			399.3	1076.2	437.0	1043.8	443.6	1056.9	436.0	1085.0	434.2	1154.5	5	444	1052	2513	82.44232	1	(oppor)tunities	119.429
EY	1	TODAY	568.9	2169.3	2666.7	188.3	379.0	243.1	120.084	120.045	120.195	0.15	22	0	0	0	3	0			560.9	2111.2	557.7	2256.4	501.3	2351.0	461.4	2374.9	436.0	2021.2	5	582	2150	2707	22.0003	1	(to)day	120.0776
AE	1	FINANCIAL	494.6	2726.1		221.2	135.8		120.663	120.636	120.716	0.08	33	4	4	2	4	4			482.0	2717.9	496.6	2725.6	519.6	2700.1	513.1	2667.6	502.3	2658.0	3	598	2693	2841	3.44244	1	(fi)nancial	120.6738
